,,,,,,,,,,,
Centros de costo Buzzword,,,,,,,,,,,
Centro de costo,Empresa,ID Empresa,Cliente,ID Cliente,Nombre actual,ID único,Centro de costo anterior,Nombre anterior,Activo,Tipo de Proyecto,Clasificación Comité
50-06-40,Buzzword,50,Davivienda,06,Proyectos - Davivienda,40,50-12-00,Plataformas TI::Davivienda,1,4.-Innovación,2.-Investigación y Desarrollo
50-07-41,Buzzword,50,Elavon,07,Proyectos - Elavon 390,41,13-12-00,Otros Proyectos::Elavon 390,1,1.- Operación,1.-Operación
50-08-42,Buzzword,50,Ethos Pay,08,Proyectos - Ethos Pay,42,50-13-00,Plataformas TI::Ethos Pay,1,1.- Operación,1.-Operación
50-10-43,Buzzword,50,Fundación Gonzalo Río Arronte,10,Proyectos - Fundación Gonzalo Río Arronte,43,07-16-00,Digitalización::Fundacion Gonzalo Rio Arronte,1,1.- Operación,1.-Operación
50-11-44,Buzzword,50,Global payments,11,Proyectos - Global Payments Onboarding Digital,44,15-54-00,Plataformas TI::Global Payments - Onboarding,1,4.-Innovación,2.-Investigación y Desarrollo
50-11-45,Buzzword,50,Global payments,11,Proyectos - Global Payments UPAEP,45,15-51-00,Plataformas TI::Global Payments UPAEP,1,1.- Operación,1.-Operación
50-12-46,Buzzword,50,Grupo Armstrong,12,Proyectos - Grupo Armstrong,46,50-04-00,Plataformas TI::Grupo Armstrong,1,1.- Operación,1.-Operación
50-13-47,Buzzword,50,HSBC,13,Proyectos - HSBC E-commerce,47,15-43-00,Plataformas TI::HSBC e-commerce,1,1.- Operación,1.-Operación
50-13-48,Buzzword,50,HSBC,13,Proyectos - HSBC Viva,48,14-67-00,Prospectos calificados::HSBC Viva,1,4.-Innovación,2.-Investigación y Desarrollo
50-14-49,Buzzword,50,IMATI,14,Gestión - IMATI,49,50-23-00,IMATI,1,1.1- Operación Interna,1.-Operación
50-15-50,Buzzword,50,Inovitz,15,Gestión - Conekta Inovitz,50,50-21-00,Conekta - Inovitz,1,1.1- Operación Interna,1.-Operación
50-15-51,Buzzword,50,Inovitz,15,Gestión - IFT/Cobranza Inovitz,51,04-55-00,Centro de Atención Telefónica::IFT / Cobranza,1,1.1- Operación Interna,1.-Operación
50-15-52,Buzzword,50,Inovitz,15,Gestión - Suburbia Inovitz,52,50-22-00,Suburbia - Inovitz,1,1.1- Operación Interna,1.-Operación
50-15-53,Buzzword,50,Inovitz,15,Gestión - Verificaciones Teléfonicas Inovitz,53,50-20-00,Verificaciones telefonicas - Inovitz,1,1.1- Operación Interna,1.-Operación
